H,M,E,B,HSubs,MSubs,ESubs,BSubs
0,0.143748,0.17,0.75,1,34,15,4
0,0.143748,0.17,1,1,34,15,5
0,0.143748,0.18,0.25,1,34,16,2
0,0.143748,0.18,0.5,1,34,16,3
0,0.143748,0.18,0.75,1,34,16,4
0,0.143748,0.19,0.5,1,34,17,3
0,0.157216,0.09,1,1,35,7,5
0,0.157216,0.1,0.75,1,35,8,4
0,0.157216,0.1,1,1,35,8,5
0,0.157216,0.11,0.75,1,35,9,4
0,0.157216,0.11,1,1,35,9,5
0,0.157216,0.12,0.5,1,35,10,3
0,0.157216,0.12,0.75,1,35,10,4
0,0.157216,0.12,1,1,35,10,5
0,0.157216,0.13,0.5,1,35,11,3
0,0.157216,0.13,0.75,1,35,11,4
0,0.157216,0.13,1,1,35,11,5
0,0.157216,0.14,0.5,1,35,12,3
0,0.157216,0.14,0.75,1,35,12,4
0,0.157216,0.14,1,1,35,12,5
0,0.157216,0.15,0.25,1,35,13,2
0,0.157216,0.15,0.5,1,35,13,3
0,0.157216,0.15,0.75,1,35,13,4
0,0.157216,0.15,1,1,35,13,5
0,0.157216,0.16,0.25,1,35,14,2
0,0.157216,0.16,0.5,1,35,14,3
0,0.157216,0.16,0.75,1,35,14,4
0,0.157216,0.16,1,1,35,14,5
0,0.157216,0.17,0.25,1,35,15,2
0,0.157216,0.17,0.5,1,35,15,3
0,0.157216,0.17,0.75,1,35,15,4
0,0.1715,0.08,1,1,36,6,5
0,0.1715,0.09,1,1,36,7,5
0,0.1715,0.1,0.75,1,36,8,4
0,0.1715,0.1,1,1,36,8,5
0,0.1715,0.11,0.5,1,36,9,3
0,0.1715,0.11,0.75,1,36,9,4
0,0.1715,0.11,1,1,36,9,5
0,0.1715,0.12,0.5,1,36,10,3
0,0.1715,0.12,0.75,1,36,10,4
0,0.1715,0.12,1,1,36,10,5
0,0.1715,0.13,0.5,1,36,11,3
0,0.1715,0.13,0.75,1,36,11,4
0,0.1715,0.13,1,1,36,11,5
0,0.1715,0.14,0.25,1,36,12,2
0,0.1715,0.14,0.5,1,36,12,3
0,0.1715,0.14,0.75,1,36,12,4
0,0.1715,0.14,1,1,36,12,5
0,0.1715,0.15,0.25,1,36,13,2
