Subject,ISO,Scaled by 250
S00,250,1
S01,320,1.28
S02,320,1.28
S03,400,1.6
S04,400,1.6
S05,400,1.6
S06,400,1.6
S07,400,1.6
S08,320,1.28
S09,320,1.28
S10,320,1.28
S11,400,1.6
S12,320,1.28
S13,400,1.6
S14,400,1.6
S15,320,1.28
S16,320,1.28
S17,250,1
S18,250,1
S19,320,1.28
S20,320,1.28
S21,400,1.6
S22,250,1
